Year,Statistic,Name(s),Team(s),#,Top 25
1901,Base on Balls,Dummy Hoy,Chicago,86,Top 25
1901,Doubles,Nap Lajoie,Philadelphia,48,Top 25
1901,Hits,Nap Lajoie,Philadelphia,232,Top 25
1901,Home Runs,Nap Lajoie,Philadelphia,14,Top 25
1901,On Base Percentage,Nap Lajoie,Philadelphia,.463,Top 25
1901,RBI,Nap Lajoie,Philadelphia,125,Top 25
1901,Runs,Nap Lajoie,Philadelphia,145,Top 25
1901,Stolen Bases,Frank Isbell,Chicago,52,Top 25
1901,Total Bases,Nap Lajoie,Philadelphia,350,Top 25
1901,Triples,Bill Keister,Baltimore,21,Top 25
1901,Jimmy Williams,,,,
1901,Statistic,Name(s),Team(s),#,Top 25
1901,1901 A.L. History | 1901 N.L. History | Year-by-Year History,,,,
1901,Complete Games,Joe McGinnity,Baltimore,39,Top 25
1901,ERA,Cy Young,Boston,1.62,Top 25
1901,Games,Joe McGinnity,Baltimore,48,Top 25
1901,Saves,Bill Hoffer,Cleveland,3,Top 25
1901,Shutouts,Clark Griffith,Chicago,5,Top 25
1901,Cy Young,Boston,,,
1901,Strikeouts,Cy Young,Boston,158,Top 25
1901,Winning Percentage,Clark Griffith,Chicago,.774,Top 25
1901,Wins,Cy Young,Boston,33,Top 25
1901,Statistic,Name(s),Team(s),#,Top 25
1901,1901 A.L. History | 1901 N.L. History | Year-by-Year History,,,,
1902,Base on Balls,Topsy Hartsel,Philadelphia,87,Top 25
1902,Doubles,Harry Davis,Philadelphia,43,Top 25
1902,Ed Delahanty,Washington,,,
1902,Hits,Charlie Hickman,Boston,193,Top 25
1902,Cleveland,,,,
1902,Home Runs,Socks Seybold,Philadelphia,16,Top 25
1902,On Base Percentage,Ed Delahanty,Washington,.453,Top 25
1902,RBI,Buck Freeman,Boston,121,Top 25
1902,Runs,Dave Fultz,Philadelphia,109,Top 25
1902,Topsy Hartsel,,,,
1902,Stolen Bases,Topsy Hartsel,Philadelphia,47,Top 25
1902,Total Bases,Charlie Hickman,Boston,288,Top 25
1902,Cleveland,,,,
1902,Triples,Jimmy Williams,Baltimore,21,Top 25
1902,Statistic,Name(s),Team(s),#,Top 25
1902,1902 A.L. History | 1902 N.L. History | Year-by-Year History,,,,
1902,Complete Games,Cy Young,Boston,41,Top 25
1902,ERA,Ed Siever,Detroit,1.91,Top 25
1902,Games,Cy Young,Boston,45,Top 25
1902,Saves,Jack Powell,St. Louis,2,Top 25
1902,Shutouts,Addie Joss,Cleveland,5,Top 25
1902,Strikeouts,Rube Waddell,Philadelphia,210,Top 25
1902,Winning Percentage,Bill Bernhard,Philadelphia,.783,Top 25
1902,Cleveland,,,,
1902,Wins,Cy Young,Boston,32,Top 25
1902,Statistic,Name(s),Team(s),#,Top 25
1902,1902 A.L. History | 1902 N.L. History | Year-by-Year History,,,,
1903,Base on Balls,Jimmy Barrett,Detroit,74,Top 25
1903,Doubles,Socks Seybold,Philadelphia,45,Top 25
1903,Hits,Patsy Dougherty,Boston,195,Top 25
1903,Home Runs,Buck Freeman,Boston,13,Top 25
1903,On Base Percentage,Jimmy Barrett,Detroit,.407,Top 25
1903,RBI,Buck Freeman,Boston,104,Top 25
1903,Runs,Patsy Dougherty,Boston,107,Top 25
1903,Stolen Bases,Harry Bay,Cleveland,45,Top 25
1903,Total Bases,Buck Freeman,Boston,281,Top 25
1903,Triples,Sam Crawford,Detroit,25,Top 25
1903,Statistic,Name(s),Team(s),#,Top 25
1903,1903 A.L. History | 1903 N.L. History | Year-by-Year History,,,,
1903,Complete Games,Bill Donovan,Detroit,34,Top 25
1903,Rube Waddell,Philadelphia,,,
1903,Cy Young,Boston,,,
1903,ERA,Earl Moore,Cleveland,1.74,Top 25
1903,Games,Eddie Plank,Philadelphia,43,Top 25
1903,Saves,Bill Dinneen,Boston,2,Top 25
1903,George Mullin,Detroit,,,
1903,Al Orth,Washington,,,
1903,Jack Powell,St. Louis,,,
1903,Cy Young,Boston,,,
1903,Shutouts,Cy Young,Boston,7,Top 25
1903,Strikeouts,Rube Waddell,Philadelphia,302,Top 25
1903,Winning Percentage,Cy Young,Boston,.757,Top 25
1903,Wins,Cy Young,Boston,28,Top 25
1903,Statistic,Name(s),Team(s),#,Top 25
1903,1903 A.L. History | 1903 N.L. History | Year-by-Year History,,,,
