0,1,2,3,4,5
1901,Chicago White Sox,83,53,.610,0
1901,Boston Americans,79,57,.581,4
1901,Detroit Tigers,74,61,.548,8½
1901,Philadelphia Athletics,74,62,.544,9
1901,Baltimore Orioles,68,65,.511,13½
1901,Washington Senators,61,72,.459,20½
1901,Cleveland Blues,54,82,.397,29
1901,Milwaukee Brewers,48,89,.350,35½
1901,Team | Roster,W,L,WP,GB
1901,1901 American League Team Standings,,,,
1902,Philadelphia Athletics,83,53,.610,0
1902,St. Louis Browns,78,58,.574,5
1902,Boston Americans,77,60,.562,6½
1902,Chicago White Sox,74,60,.552,8
1902,Cleveland Blues,69,67,.507,14
1902,Washington Senators,61,75,.449,22
1902,Detroit Tigers,52,83,.385,30½
1902,Baltimore Orioles,50,88,.362,34
1902,Team | Roster,W,L,WP,GB
1902,1902 American League Team Standings,,,,
1903,Boston Americans,91,47,.659,0
1903,Philadelphia Athletics,75,60,.556,14½
1903,Cleveland Blues,77,63,.550,15
1903,New York Highlanders,72,62,.537,17
1903,Detroit Tigers,65,71,.478,25
1903,St. Louis Browns,65,74,.468,26½
1903,Chicago White Sox,60,77,.438,30½
1903,Washington Senators,43,94,.314,47½
1903,Team | Roster,W,L,WP,GB
1903,1903 American League Team Standings,,,,
